"","Date","Open","High","Low","Close","Volume","Dividend","Split","Adj_Open","Adj_High","Adj_Low","Adj_Close","Adj_Volume"
"1",2018-07-27,200.21,200.49,196.68,197.14,3868757,0,1,200.21,200.49,196.68,197.14,3868757
"2",2018-07-26,201.53,202.12,198.91,199.4,4280024,0,1,201.53,202.12,198.91,199.4,4280024
"3",2018-07-25,201.4,202.29,199.07,201,4383050,0,1,201.4,202.29,199.07,201,4383050
"4",2018-07-24,203.53,204.25,201.35,201.99,5058066,0,1,203.53,204.25,201.35,201.99,5058066
"5",2018-07-23,202.46,203.39,201.9,202.23,2207583,0,1,202.46,203.39,201.9,202.23,2207583
"6",2018-07-20,202.08,203.76,201.82,202.45,3568187,0,1,202.08,203.76,201.82,202.45,3568187
"7",2018-07-19,200.89,203.23,200.5463,202.63,3655058,0,1,200.89,203.23,200.5463,202.63,3655058
"8",2018-07-18,201.02,201.92,200.19,200.97,3783908,0,1,201.02,201.92,200.19,200.97,3783908
"9",2018-07-17,198.63,201.43,198.63,201.1,4661601,0,1,198.63,201.43,198.63,201.1,4661601
"10",2018-07-16,199.14,199.22,197.89,198.88,2530462,0,1,199.14,199.22,197.89,198.88,2530462
"11",2018-07-13,198.46,199.93,198.46,198.69,2311624,0,1,198.46,199.93,198.46,198.69,2311624
"12",2018-07-12,198.2,198.48,197,197.95,2709194,0,1,198.2,198.48,197,197.95,2709194
"13",2018-07-11,197.22,197.76,195.9506,196.95,3093238,0,1,197.22,197.76,195.9506,196.95,3093238
"14",2018-07-10,196.56,197.76,196.38,197.61,2840826,0,1,196.56,197.76,196.38,197.61,2840826
"15",2018-07-09,195.7,196.71,195.03,196.08,2570252,0,1,195.7,196.71,195.03,196.08,2570252
"16",2018-07-06,194.58,195.35,192.95,194.48,2552367,0,1,194.58,195.35,192.95,194.48,2552367
"17",2018-07-05,194.49,194.74,193.13,194.41,3040575,0,1,194.49,194.74,193.13,194.41,3040575
"18",2018-07-03,194.44,195.71,193.41,193.62,1608418,0,1,194.44,195.71,193.41,193.62,1608418
"19",2018-07-02,193.82,194.18,192.12,194.02,3822776,0,1,193.82,194.18,192.12,194.02,3822776
"20",2018-06-29,195.86,198.83,194.99,195.1,4106627,0,1,195.86,198.83,194.99,195.1,4106627
"21",2018-06-28,195,196.01,193.51,195.21,2994020,0,1,195,196.01,193.51,195.21,2994020
"22",2018-06-27,196.66,197.99,195.01,195.02,3771522,0,1,196.66,197.99,195.01,195.02,3771522
"23",2018-06-26,196.58,197.33,195.6,196.36,3270629,0,1,196.58,197.33,195.6,196.36,3270629
"24",2018-06-25,197.41,197.84,195.06,196.38,5127170,0,1,197.41,197.84,195.06,196.38,5127170
"25",2018-06-22,200.79,201.2,197.17,197.41,7041652,0,1,200.79,201.2,197.17,197.41,7041652
"26",2018-06-21,199.21,200.94,198.61,200.31,4587792,0,1,199.21,200.94,198.61,200.31,4587792
"27",2018-06-20,200,200.13,198.12,199.08,3389406,0,1,200,200.13,198.12,199.08,3389406
"28",2018-06-19,198.21,199.9,198.1,199.21,5501133,0,1,198.21,199.9,198.1,199.21,5501133
"29",2018-06-18,198.94,200.91,198.11,200.69,3405345,0,1,198.94,200.91,198.11,200.69,3405345
"30",2018-06-15,198.95,201.6,198.5,200.54,7820698,0,1,198.95,201.6,198.5,200.54,7820698
"31",2018-06-14,200.26,201,198.16,199.67,4302142,0,1,200.26,201,198.16,199.67,4302142
"32",2018-06-13,201.3,201.58,199.6588,200.31,5125660,0,1,201.3,201.58,199.6588,200.31,5125660
"33",2018-06-12,199.84,201.34,199.51,201.31,4616565,0,1,199.84,201.34,199.51,201.31,4616565
"34",2018-06-11,198.91,200.52,198.34,199.64,4242950,0,1,198.91,200.52,198.34,199.64,4242950
"35",2018-06-08,195.87,198.5,195.01,198.33,4005213,0,1,195.87,198.5,195.01,198.33,4005213
"36",2018-06-07,193.83,197.2,193.83,196.17,4378743,0,1,193.83,197.2,193.83,196.17,4378743
"37",2018-06-06,193.07,193.59,191.21,193.59,4134540,0,1,193.07,193.59,191.21,193.59,4134540
"38",2018-06-05,190.44,192.38,189.7,191.94,4231073,0,1,190.44,192.38,189.7,191.94,4231073
"39",2018-06-04,188.22,191.54,187.97,191.36,4101118,0,1,188.22,191.54,187.97,191.36,4101118
"40",2018-06-01,187.21,188.83,186.52,187.35,3706013,0,1,187.21,188.83,186.52,187.35,3706013
"41",2018-05-31,187.16,187.36,185.25,186.55,4839928,0,1,187.16,187.36,185.25,186.55,4839928
"42",2018-05-30,184.83,187.8,184.01,187.09,3976000,1.03,1,184.83,187.8,184.01,187.09,3976000
"43",2018-05-29,185.55,186.83,184.25,185,4725486,0,1,184.534071337444,185.807063044865,183.241189134595,183.987082713162,4725486
"44",2018-05-25,186.71,187.8302,186.05,186.85,2730401,0,1,185.687720072294,186.801786721242,185.031333723155,185.826953540293,2730401
"45",2018-05-24,186.79,187.41,184.67,187.15,3941249,0,1,185.767282054008,186.38388741229,183.658889538592,186.12531097172,3941249
"46",2018-05-23,187.1,187.315,184.98,186.67,7387362,0,1,186.075584733149,186.289407559005,183.967192217733,185.647939081437,7387362
"47",2018-05-22,190.06,190.78,186.5175,186.87,4585635,0,1,189.01937805656,189.735435891984,185.496274053795,185.846844035722,4585635
"48",2018-05-21,188.2,190.67,188,189.79,4147784,0,1,187.169561981714,189.626038167127,186.970657027429,188.750856368276,4147784
"49",2018-05-18,185.75,188.21,185.55,187.42,4696173,0,1,184.732976291729,187.179507229428,184.534071337444,186.393832660004,4696173
"50",2018-05-17,186.25,187.18,184.87,185.33,4227127,0,1,185.23023867744,186.155146714863,183.857794492877,184.315275887731,4227127
"51",2018-05-16,189.28,189.28,185.9,186.38,5043211,0,1,188.24364873485,188.24364873485,184.882155007442,185.359526897725,5043211
"52",2018-05-15,189.5,189.69,186.101,187.98,10143621,0,1,188.462444184563,188.651403891133,185.082054486498,186.950766532001,10143621
"53",2018-05-14,191.5,191.65,189.86,191.08,7021481,0,1,190.451493727408,190.600672443121,188.820473102275,190.033793323411,7021481
"54",2018-05-11,187.63,190.8,187.35,190.31,5350002,0,1,186.602682862003,189.755326387412,186.324215926005,189.268009249415,5350002
"55",2018-05-10,185.97,187.97,185.88,187.16,3849033,0,1,184.951771741442,186.940821284287,184.862264512014,186.135256219434,3849033
"56",2018-05-09,185.03,186.5,183.57,186.36,3392251,0,1,184.016918456304,185.478869870296,182.564912290028,185.339636402296,3392251
"57",2018-05-08,183.45,185.3,182.5,185.04,4168056,0,1,182.445569317457,184.285440144589,181.500770784606,184.026863704019,4168056
"58",2018-05-07,185.4,185.5,182.67,183.56,3582327,0,1,184.384892621731,184.484345098873,181.669839995747,182.554967042313,3582327
"59",2018-05-04,182.75,186.35,181.84,185.03,3895987,0,1,181.749401977461,185.329691154582,180.844384435467,184.016918456304,3895987
"60",2018-05-03,184.87,184.9,181.201,183.19,4123050,0,1,183.857794492877,183.88763023602,180.208883106528,182.186992876887,4123050
"61",2018-05-02,184.49,187.12,183.75,185.91,3866459,0,1,183.479875079736,186.095475228577,182.743926748884,184.892100255156,3866459
"62",2018-05-01,184.73,184.73,181.4,184.63,3423484,0,1,183.718561024878,183.718561024878,180.406793536041,183.619108547735,3423484
"63",2018-04-30,186.99,187.8,184.8,184.8,4173175,0,1,185.966187008293,186.771752073145,183.788177758877,183.788177758877,4173175
"64",2018-04-27,185.49,187.0432,183.87,186.46,4382037,0,1,184.474399851159,186.019095726132,182.863269721454,185.439088879439,4382037
